"ID","AIRLANE_NAME","HEIGHT","LENGHT","WINGSPAN","WEIGHT","MAX_SPEED","MAX_WEIGHT","TOTAL_SEATS_ECO","TOTAL_SEATS_BUS","FUEL_CAPACITY","PRODUCTION_YEAR"
9844,"Vietnam Airlines",37,79,60,84,825,217,616,862,9,1984
9845,"Malaysia Airlines",38,106,52,54,1255,187,618,865,12,2009
9846,"Iberia",31,56,37,108,812,255,684,957,23,1996
9847,"LOT",36,51,36,80,944,171,423,592,4,2012
9848,"China Airlines",30,91,39,83,933,188,490,686,7,2012
9849,"Aer Lingus",29,113,39,101,966,202,470,658,5,1985
9850,"Royal Air Maroc",32,89,76,109,808,236,589,824,24,2002
9851,"Vietnam Airlines",30,56,68,62,1043,96,158,221,5,1993
9852,"American Eagle",31,98,46,88,934,220,613,858,9,1992
9853,"Finnair",23,53,63,97,839,162,304,425,7,1985
9854,"Air Serbia",28,119,48,86,890,268,846,1184,7,1986
9855,"Sky Airline",32,83,31,113,1226,166,249,348,8,1986
9856,"Brussels Airlines",24,111,79,55,1019,183,594,831,19,2015
9857,"United Airlines",25,101,61,109,861,208,462,646,14,1987
9858,"Flynas",34,53,49,67,1030,189,567,793,20,2002
9859,"Jet2.com",28,80,65,95,804,201,493,690,9,2016
9860,"Emirates",29,109,35,53,1186,231,826,1156,13,2008
9861,"Air Mauritius",38,73,72,109,845,166,265,371,21,2013
9862,"Japan Airlines",21,112,44,63,1086,250,866,1212,17,2002
9863,"Korean Air",37,77,54,92,1179,143,240,336,17,1987
9864,"EVA Air",25,56,33,55,1169,199,667,933,5,1983
9865,"Air Astana",23,89,65,99,1219,142,200,280,22,1987
9866,"AirAsia",39,71,73,111,1167,301,880,1232,10,2017
9867,"Southwest Airlines",21,90,53,79,946,183,486,680,12,2009
9868,"Korean Air",28,112,35,63,1245,211,688,963,21,2002
9869,"Egyptair",23,67,65,108,1199,153,211,295,13,1994
9870,"Aer Lingus",38,107,77,81,980,249,782,1094,17,1988
9871,"Japan Airlines",37,88,65,104,997,140,170,238,17,2019
9872,"Wizz Air",25,72,72,82,838,153,332,464,21,2013
9873,"Buta Airways",30,58,49,88,1209,214,585,819,6,1992
9874,"Air Malta",33,51,49,62,1243,226,763,1068,8,1989
9875,"Air Malta",24,55,62,56,1269,191,626,876,17,1982
9876,"Vueling Airlines",33,51,32,110,1004,264,715,1001,7,2009
9877,"China Eastern Airlines",23,81,51,80,947,147,312,436,11,2012
9878,"British Airways",29,78,72,60,1059,148,408,571,20,1981
9879,"SAS Scandinavian",24,111,55,67,913,135,318,445,13,2008
9880,"China Airlines",21,108,58,92,1130,212,559,782,13,2006
9881,"flyDubai",35,84,66,60,1024,198,640,896,21,2017
9882,"Iberia",34,54,51,73,839,222,691,967,11,2012
9883,"Air Serbia",28,62,60,82,1254,199,546,764,20,1990
9884,"Citilink",29,82,34,113,1044,261,689,964,7,1999
9885,"Aer Lingus",25,58,41,70,920,164,437,611,23,2002
9886,"Asiana Airlines",40,92,43,52,1132,156,485,679,20,1984
9887,"Air Mauritius",21,63,68,67,940,217,698,977,5,1990
9888,"Cathay Pacific Airways",26,65,67,67,1203,252,860,1204,18,1984
9889," Aegean Airlines",40,77,66,110,929,262,708,991,13,1983
9890,"Saudi Arabian Airlines",30,105,35,61,971,213,708,991,17,1991
9891,"Virgin Australia",20,69,35,100,1257,153,249,348,10,1987
9892,"Copa Airlines",21,76,55,62,912,174,522,730,17,1982
9893,"Kenya Airways",36,86,39,61,1072,185,577,807,16,2003
9894,"Thai Airways",21,52,34,116,1275,254,641,897,16,2007
9895,"South African Airways",39,96,37,89,1219,166,361,505,11,1998
9896,"Korean Air",35,114,55,51,1039,156,489,684,7,2006
9897,"Kuwait Airways",37,73,65,70,1186,119,230,322,11,1988
9898,"Garuda Indonesia",32,53,70,92,1168,282,884,1237,21,1989
9899,"Rex Airlines",29,56,41,110,1163,156,214,299,20,1988
9900,"Vistara",33,93,63,61,1195,235,809,1132,6,2021
9901,"Brussels Airlines",33,100,31,89,990,215,584,817,22,2000
9902,"JetBlue Airways",35,89,40,112,988,281,785,1099,12,2004
9903,"Turkish Airlines",39,85,52,51,1091,218,777,1087,18,2012
9904,"Egyptair",32,56,48,65,1138,244,831,1163,13,1981
9905,"Vietnam Airlines",20,65,76,68,849,203,627,877,7,2016
9906,"Eurowings",39,120,68,69,1210,212,663,928,17,2003
9907," Aegean Airlines",22,109,36,106,1280,144,180,252,5,1987
9908,"Korean Air",22,105,49,62,959,174,523,732,5,1990
9909,"Avianca",39,62,48,95,1040,142,219,306,14,1986
9910,"Air Astana",32,112,31,99,1186,218,555,777,21,2013
9911,"SunExpress",28,105,58,105,962,192,403,564,14,2009
9912,"Air Arabia",34,68,34,109,1063,294,859,1202,14,1995
9913,"Aer Lingus",22,111,41,118,901,216,457,639,18,2017
9914,"Emirates",28,94,76,83,1209,224,655,917,18,1995
9915,"Air Mauritius",29,84,52,76,1261,178,475,665,7,2007
9916,"EasyJet",38,82,68,98,1198,207,507,709,4,2017
9917,"Air New Zealand",24,92,60,97,816,146,229,320,14,2017
9918,"Malaysia Airlines",26,80,47,100,906,218,550,770,19,2008
9919,"Vietnam Airlines",39,55,44,94,1073,171,357,499,22,2005
9920," Aegean Airlines",33,55,45,96,920,178,383,536,15,2004
9921,"American Eagle",29,110,61,90,907,164,343,480,15,1990
9922,"Saudi Arabian Airlines",26,97,69,58,1207,197,646,904,8,1985
9923,"LATAM",30,114,30,80,837,192,520,728,21,1998
9924,"Kenya Airways",34,111,68,79,965,214,626,876,24,1994
9925," Hainan Airlines",36,107,71,110,1293,147,176,246,15,2002
9926,"TAP Portugal",21,82,40,80,999,123,201,281,5,2006
9927,"Emirates",31,118,63,112,1296,250,643,900,16,1993
9928,"Lufthansa",29,107,51,104,1022,294,884,1237,20,2020
9929,"Ethiopian Airlines",32,96,78,53,833,129,353,494,11,2015
9930,"AirAsia",26,76,43,50,1193,181,608,851,7,2001
9931,"China Southern Airlines",23,115,67,83,941,118,163,228,25,1990
9932,"Jetstar Asia",28,57,52,101,1260,229,597,835,22,2003
9933,"KLM Royal Dutch Airlines",22,107,38,84,1300,150,309,432,10,2012
9934,"TAP Portugal",35,81,75,106,957,202,449,628,17,2007
9935,"Air Arabia",40,79,45,97,967,258,746,1044,9,2007
9936,"Vueling Airlines",23,111,59,54,989,246,892,1248,24,1998
9937,"Ryanair",30,56,55,79,969,213,623,872,11,1984
9066,"Air Serbia",31,105,37,76,1216,137,285,399,19,1995
9067,"Emirates",30,112,41,51,1193,108,265,371,17,1980
9068,"American Eagle",26,114,69,60,1045,185,580,812,10,2007
9069,"Aer Lingus",25,76,71,89,928,145,263,368,5,1985
9070,"Thai Airways",32,76,38,74,1101,179,489,684,20,2012
9071,"Lufthansa",26,110,75,74,1205,219,672,940,17,2016
9072,"Bangkok Airways",37,112,65,106,1030,162,260,364,11,1995
9073,"Malaysia Airlines",36,59,49,111,1260,162,240,336,7,2016
9074,"ANA All Nippon Airways",24,84,80,54,934,155,469,656,9,1981
9075,"Thai Airways",23,112,46,57,865,164,497,695,20,1997
9076,"Southwest Airlines",29,72,48,116,974,245,601,841,5,1991
9077,"Jet2.com",28,86,60,52,1201,164,521,729,19,1997
9078,"Buta Airways",34,97,42,89,1170,256,776,1086,24,2007
9079,"TUI Airways",39,90,58,92,1093,219,589,824,18,1992
9080,"Rex Airlines",26,57,60,69,1253,250,839,1174,13,1984
9081,"Brussels Airlines",30,94,48,94,801,151,265,371,16,2012
9082,"Alaska Airlines",39,55,79,96,1272,250,714,999,5,1981
9083,"Scoot",22,56,76,51,998,180,602,842,5,1991
9084,"Garuda Indonesia",37,90,75,80,1109,116,167,233,12,1999
9085,"Ethiopian Airlines",33,84,31,51,1295,119,318,445,7,2003
9086,"Saudi Arabian Airlines",35,59,45,65,1223,241,817,1143,8,2003
9087,"Asiana Airlines",23,82,73,61,945,197,631,883,5,1982
9088," Qantas Airways",27,82,72,112,855,183,333,466,24,1980
9089," Gulf Air",30,94,37,60,1130,149,416,582,5,1996
9090,"Air Astana",25,79,36,88,1054,245,728,1019,19,1989
9091,"Jet2.com",39,59,34,57,1215,187,604,845,23,2011
9092,"Vistara",28,72,62,101,1058,194,433,606,23,2021
9093,"China Eastern Airlines",26,83,38,53,932,190,637,891,22,2003
9094,"Air Dolomiti",20,117,64,93,935,258,765,1071,24,2011
9095,"Quatar Airways",24,110,79,116,1228,212,446,624,23,2017
9096,"EVA Air",35,94,57,115,1015,254,648,907,17,2005
9097,"Avianca",32,59,80,91,1271,174,385,539,23,1998
9098,"Air Mauritius",28,54,47,111,1258,271,745,1043,22,1990
9099,"Air Arabia",28,84,30,95,904,134,185,259,20,2008
9100," Qantas Airways",32,83,35,77,917,225,686,960,9,2016
9101," Air Canada",38,98,30,79,1116,208,598,837,6,1999
9102,"IndiGo",26,52,41,91,1012,127,171,239,19,1999
9103,"Finnair",31,94,63,52,946,220,780,1092,21,1986
9104,"China Eastern Airlines",24,80,60,84,1040,173,414,579,20,2017
9105,"Virgin Atlantic",35,103,58,115,969,281,769,1076,9,2018
9106,"Air Mauritius",25,92,68,64,867,100,171,239,25,1989
9107,"Aer Lingus",23,76,68,70,1275,181,517,723,11,1984
9108,"Malaysia Airlines",28,94,31,100,811,288,873,1222,24,1989
9109,"Garuda Indonesia",21,66,54,95,1227,272,820,1148,5,2020
9110,"Air Mauritius",26,102,68,52,1168,181,602,842,11,1990
9111,"Avianca",29,88,62,116,814,257,656,918,24,2018
9112,"Buta Airways",31,51,39,93,863,191,454,635,22,2005
9113,"Air France",21,79,37,69,951,162,431,603,10,2011
9114,"Ethiopian Airlines",22,101,64,74,914,106,150,210,15,1993
9115,"Oman Air",35,86,72,69,977,130,287,401,7,1986
9116,"Peach",32,54,59,80,1273,177,451,631,18,1986
9117,"Garuda Indonesia",37,73,77,85,1270,154,320,448,19,2013
9118,"Air Mauritius",36,67,76,60,810,191,608,851,11,1981
9119,"Avianca",33,53,73,68,1128,151,387,541,14,2004
9120,"Virgin Atlantic",38,66,52,117,882,283,770,1078,15,2011
9121,"Alaska Airlines",23,90,34,110,1275,227,545,763,11,2009
9122,"Brussels Airlines",32,91,47,76,936,247,792,1108,13,1985
9123,"Air Arabia",21,96,71,88,818,274,862,1206,4,2003
9124," Air Canada",36,116,35,83,951,157,344,481,10,1992
9125,"American Eagle",25,100,35,58,840,203,674,943,20,2003
9126,"Eurowings",34,86,75,109,932,269,744,1041,11,1987
9127,"Garuda Indonesia",31,89,74,87,912,131,207,289,9,2019
9128,"Norwegian",23,107,45,51,1028,118,311,435,5,1989
9129,"TUI Airways",20,60,58,73,851,189,538,753,7,1998
9130,"Jetstar Asia",40,99,73,105,852,205,465,651,4,2013
9131,"Turkish Airlines",28,93,70,54,1136,146,429,600,19,2004
9132,"Peach",26,76,80,93,1032,279,864,1209,7,2006
9133,"Vistara",37,69,59,55,818,167,519,726,11,2006
9134,"Air New Zealand",24,83,53,59,1261,121,289,404,8,2006
9135,"South African Airways",33,90,54,119,943,283,763,1068,25,2016
9136,"South African Airways",32,73,44,54,847,246,893,1250,17,1984
9137,"LEVEL",34,96,73,51,1032,99,225,315,8,2017
9138,"Ryanair",40,117,73,116,992,167,237,331,11,1994
9139,"IndiGo",28,66,79,91,1165,232,657,919,19,2002
9140,"Southwest Airlines",26,55,51,118,1044,267,691,967,23,1996
9141,"Norwegian",39,75,37,68,859,158,420,588,17,1990
9142,"Malaysia Airlines",36,87,73,73,842,224,701,981,12,1998
9143,"LATAM",21,53,34,85,882,188,479,670,18,2009
9144,"Jetstar Asia",39,112,52,57,934,134,357,499,18,2015
9145,"Jet2.com",32,87,64,67,1054,199,614,859,12,2012
9146,"Southwest Airlines",32,80,40,88,801,213,580,812,11,2020
9147,"Finnair",27,52,60,75,1040,219,671,939,13,2015
9148,"Lufthansa",24,74,78,112,1175,212,466,652,16,2013
9149,"Kenya Airways",28,119,75,54,1060,207,713,998,10,2021
9150,"China Airlines",28,63,67,99,938,268,787,1101,17,1988
9151,"Japan Airlines",22,52,76,97,886,232,627,877,21,1988
9152,"Iberia",40,69,60,104,947,284,834,1167,23,2019
9153,"Virgin Australia",26,110,47,59,935,207,689,964,21,1990
9154,"Copa Airlines",32,73,60,54,1105,121,312,436,14,2006
9155,"Turkish Airlines",32,107,34,99,1008,200,468,655,14,1994
9156,"TUI Airways",35,111,76,117,1214,190,342,478,7,2015
9157,"Saudi Arabian Airlines",24,77,67,84,1055,175,422,590,21,1990
9158,"Iberia",37,116,60,119,1255,286,774,1083,19,2009
9159,"Emirates",28,56,71,88,1020,157,324,453,22,1987
9160,"Air Mauritius",25,117,71,84,1033,188,485,679,9,1988
9161,"American Airlines",33,109,50,81,1069,234,713,998,21,1996
9162,"China Airlines",22,108,46,98,1147,238,649,908,11,2022
9163,"Lufthansa",31,99,32,97,1243,211,529,740,19,1986
9164,"Virgin Australia",34,64,38,98,1087,149,240,336,16,1993
9165,"Sky Airline",26,66,51,89,979,160,332,464,17,2009
9166,"Air France",33,74,71,118,923,237,555,777,6,2011
9167,"LEVEL",27,118,52,120,1020,205,395,553,9,2006
9168,"Hong Kong Airlines",39,112,59,93,882,165,335,469,6,2019
9169,"Singapore Airlines",23,99,72,74,969,173,460,644,22,1998
9170,"Avianca",29,74,72,109,1126,209,467,653,13,2009
9171,"Air Mauritius",21,81,54,66,974,136,327,457,24,2000
9172,"Flynas",28,50,70,62,820,110,223,312,21,2010
9173,"Copa Airlines",23,119,75,64,1285,254,884,1237,14,1996
9174,"Eurowings",24,76,36,92,1267,188,447,625,13,1991
9175,"Singapore Airlines",24,116,51,113,1088,199,400,560,11,1992
9176,"Air France",26,101,56,51,1007,223,800,1120,15,1986
9177," Gulf Air",32,78,58,87,1066,198,515,721,13,1982
9178,"Iberia",22,107,46,102,907,137,164,229,8,2018
9179,"Vueling Airlines",21,119,66,81,1032,210,601,841,24,1994
9180,"Vueling Airlines",25,72,63,118,1023,249,609,852,9,1998
9181,"Air Astana",20,80,41,74,1109,213,645,903,16,2002
9182,"Lufthansa",26,104,35,66,1014,141,348,487,21,2016
9183,"Air Canada rouge",39,96,51,106,974,261,722,1010,20,2009
9184,"Wizz Air",25,68,58,71,1072,230,738,1033,12,2009
9185,"Air Dolomiti",39,56,57,111,807,249,641,897,7,1988
9186,"AirAsia",30,62,74,106,878,162,261,365,24,2015
9187,"Lufthansa",22,100,54,84,1182,148,298,417,8,1981
9188,"Vietnam Airlines",22,88,49,96,1277,172,356,498,23,2004
9189,"Peach",30,88,52,94,988,177,385,539,7,1983
9190,"Air Arabia",24,104,38,90,949,164,346,484,5,1987
9191,"Virgin Atlantic",40,101,36,85,1014,247,752,1052,11,1987
9192,"Air Transat",24,111,41,102,863,138,169,236,17,2015
9193,"LATAM",36,84,47,61,1096,167,492,688,18,1988
9194,"Air Transat",25,64,31,66,1121,242,815,1141,9,1987
9195,"KLM Royal Dutch Airlines",40,54,52,59,1084,132,340,476,20,2016
9196,"SunExpress",29,70,69,109,1083,201,428,599,17,2010
9197,"Copa Airlines",31,81,56,94,1142,209,533,746,6,1997
9198,"Korean Air",31,81,41,66,1225,99,157,219,6,1996
9199,"American Airlines",36,95,45,111,1267,211,465,651,16,1987
9200,"WestJet",26,76,71,76,991,151,349,488,8,2002
9201,"Air France",32,114,34,100,907,228,596,834,21,1983
9202,"American Airlines",32,78,61,64,997,256,892,1248,6,2021
9203,"Air New Zealand",30,96,63,68,1218,250,846,1184,5,2013
9204,"SunExpress",32,104,59,107,1003,143,168,235,6,1989
9205,"Peach",21,109,75,54,1097,134,373,522,16,2010
9206,"Finnair",25,109,52,85,805,230,673,942,7,1995
9207,"EVA Air",39,88,46,69,1207,126,268,375,14,2001
9208,"KLM Royal Dutch Airlines",39,96,56,92,1090,186,439,614,5,1998
9209,"Japan Airlines",24,117,54,80,1269,130,236,330,4,2003
9210,"Korean Air",30,118,76,78,964,226,689,964,15,2002
9211,"Jet2.com",22,98,31,51,1143,123,337,471,12,1982
9212,"China Southern Airlines",35,59,44,55,1003,90,164,229,6,1996
9213,"Aer Lingus",23,60,75,73,1242,173,465,651,10,2000
9214," Hainan Airlines",36,63,66,54,873,200,677,947,6,1984
9215,"American Airlines",40,103,35,54,864,163,507,709,14,1981
9216,"LOT",24,98,40,101,1097,186,398,557,9,2012
9217,"Air New Zealand",36,52,58,53,864,207,716,1002,22,1997
9218,"LEVEL",26,101,46,57,1296,103,215,301,16,2004
9219,"Avianca",38,114,46,115,1214,248,618,865,17,1997
9220,"Air Astana",27,97,36,111,969,272,746,1044,7,2011
9221,"China Southern Airlines",38,106,54,67,1281,165,455,637,22,1996
9222,"Eurowings",24,90,43,86,852,260,809,1132,25,1995
9223,"EVA Air",22,57,56,50,823,170,560,784,14,2019
9224,"KLM Royal Dutch Airlines",31,119,63,80,1251,133,246,344,19,1995
9225," Gulf Air",37,108,68,69,1287,181,522,730,14,2013
9226,"Bangkok Airways",28,71,61,81,1128,219,643,900,16,2013
9227,"SunExpress",36,65,56,64,1277,138,347,485,5,2002
9228,"TAP Portugal",35,81,48,89,1228,227,640,896,10,2009
9229,"TUI Airways",36,76,37,103,1062,208,487,681,13,1995
9230,"Malaysia Airlines",38,66,61,97,918,195,454,635,19,2019
9231,"Air Astana",32,72,74,63,1123,159,445,623,12,2015
9232,"IndiGo",23,101,50,108,1013,302,900,1260,17,1989
9233,"JetSmart",23,52,57,67,884,183,538,753,17,1998
9234,"Royal Air Maroc",34,58,74,82,1047,224,658,921,16,1992
9235,"Royal Air Maroc",39,53,38,118,871,221,480,672,24,2010
9236,"Vietnam Airlines",30,89,54,106,1008,199,432,604,10,2013
9237,"SunExpress",38,61,42,68,1084,121,246,344,7,2003
9238,"Vietnam Airlines",39,65,53,77,1297,260,848,1187,16,1989
9239,"Air Mauritius",36,66,65,109,833,218,508,711,9,1982
9240,"JetBlue Airways",30,102,55,75,1249,229,714,999,8,2014
9241,"Brussels Airlines",26,76,66,52,1144,174,566,792,5,2016
9242,"JetBlue Airways",28,50,69,105,1168,297,893,1250,21,1996
9243,"Rex Airlines",33,74,64,99,1127,286,867,1213,18,2000
9244,"TAP Portugal",32,108,74,78,1044,160,380,532,5,2006
9245,"Sky Airline",27,107,49,71,949,185,531,743,20,2001
9246,"Eurowings",37,99,72,83,1209,248,768,1075,23,1988
9247,"Air Serbia",38,90,72,62,857,206,670,938,13,1990
9248," Gulf Air",30,51,60,90,1246,223,617,863,6,1994
9249,"Avianca",39,114,36,56,964,128,338,473,4,2018
9250,"Swiss International Air Lines",20,61,44,119,1007,239,557,779,23,2019
9251," Austrian Airlines",36,70,35,82,1059,192,510,714,25,2003
9252,"Turkish Airlines",40,81,30,72,1213,203,611,855,24,1997
9253,"Air Malta",38,70,69,107,817,293,863,1208,4,1999
9254,"KLM Royal Dutch Airlines",24,68,39,86,1270,234,689,964,5,2017
9255,"Jet2.com",24,70,80,114,1222,263,693,970,14,1998
9256,"LATAM",24,51,52,94,1100,241,681,953,4,1982
9257,"flyDubai",28,72,52,70,1025,211,653,914,12,1993
9258,"flyDubai",26,75,44,86,1210,124,178,249,22,2007
9259,"Vietnam Airlines",38,84,39,74,967,222,688,963,25,2020
9260,"SunExpress",37,101,68,91,970,214,573,802,8,2002
9261,"Emirates",35,75,43,65,1112,227,753,1054,13,1995
9262,"ANA All Nippon Airways",35,54,32,111,851,251,650,910,15,1993
9263,"Kuwait Airways",27,56,69,84,840,239,722,1010,5,1985
9264,"Royal Air Maroc",21,64,43,56,807,190,622,870,5,2019
9265," Air Canada",30,108,72,75,1151,242,777,1087,15,1997
9266,"Hong Kong Airlines",39,67,62,58,824,114,263,368,11,2016
9267,"ANA All Nippon Airways",28,111,66,75,991,197,568,795,9,2003
9268,"South African Airways",29,103,52,116,1126,167,240,336,24,2009
9269,"SunExpress",32,81,51,119,893,283,763,1068,21,1983
9270,"Oman Air",32,109,46,117,836,279,752,1052,7,1996
9271,"Jetstar Asia",25,117,64,75,963,166,423,592,25,2010
9272,"Air Astana",23,89,62,54,1136,183,598,837,25,2009
9273,"Virgin Australia",33,105,32,116,1285,161,212,296,21,2001
9274,"EVA Air",26,87,75,64,979,251,868,1215,4,1995
9275,"AirAsia",32,82,53,59,1063,137,365,511,24,1993
9276,"Peach",38,107,50,103,932,234,611,855,24,2010
9277,"Royal Brunei Airlines",32,71,35,77,932,205,594,831,11,2008
9278,"Vistara",21,83,34,63,1077,201,642,898,22,1981
9279,"Air Astana",36,101,66,63,1289,203,651,911,20,2011
9280," Hainan Airlines",39,100,50,86,1278,150,301,421,17,2002
9281,"Singapore Airlines",22,57,46,105,1256,244,647,905,13,1989
9282,"Turkish Airlines",20,74,40,68,1139,147,370,518,17,1998
9283,"Norwegian",31,59,55,106,822,265,738,1033,6,1997
9284,"Asiana Airlines",37,115,77,68,1248,149,376,526,24,2008
9285,"American Airlines",21,64,55,70,901,133,296,414,7,1998
9286,"LEVEL",34,65,71,80,889,152,334,467,12,1998
9287,"ITA Airways",37,67,78,81,882,242,748,1047,6,1993
9288,"Air Transat",32,95,56,68,843,163,441,617,7,1989
9289,"South African Airways",39,107,61,99,1179,271,797,1115,22,2004
9290,"LOT",26,117,79,103,930,263,742,1038,23,2014
9291,"Air Serbia",27,116,73,70,937,127,266,372,16,1986
9292,"Air Serbia",39,84,60,69,846,140,332,464,17,1996
9293,"Air Malta",25,90,66,88,1276,277,875,1225,23,1990
9294," Air Canada",21,67,32,84,1085,131,221,309,18,2010
9295,"Quatar Airways",26,63,60,109,840,270,748,1047,7,2020
9296,"Aer Lingus",22,106,36,60,1140,172,521,729,7,2009
9297,"Air Malta",26,85,58,111,1272,167,261,365,21,2015
9298,"Air Astana",29,56,55,69,954,189,558,781,6,1985
9299,"Emirates",31,80,63,62,1129,123,284,397,23,1989
9300,"Ryanair",32,85,41,50,976,109,275,385,18,1991
9301,"Ethiopian Airlines",28,104,31,77,1277,238,748,1047,19,2004
9302,"Hong Kong Airlines",24,116,37,63,871,137,344,481,17,1986
9303,"Rex Airlines",29,72,46,75,928,143,319,446,20,2018
9304,"Alaska Airlines",26,80,79,63,1181,138,349,488,6,1984
9305,"Air Transat",36,71,41,56,1076,195,646,904,22,2017
9306,"Finnair",34,117,51,96,827,238,660,924,21,1994
9307,"Vistara",39,79,45,88,1066,213,579,810,18,1988
9308,"KLM Royal Dutch Airlines",24,53,36,106,1233,244,642,898,5,2015
9309,"Air Arabia",37,110,41,94,1109,171,360,504,14,1984
9310,"Jet2.com",21,60,42,90,909,128,178,249,5,1984
9311,"LOT",31,119,39,75,906,134,276,386,8,2006
9312,"Virgin Australia",38,83,39,114,1219,279,768,1075,23,2009
9313,"Kenya Airways",27,56,48,83,810,215,614,859,22,2019
9314,"Air Malta",23,50,33,61,838,206,675,945,8,1995
9315,"Emirates",27,75,47,117,1169,194,359,502,23,2006
9316,"Egyptair",21,64,59,63,899,107,208,291,11,1994
9317,"Ethiopian Airlines",39,85,38,104,874,228,578,809,5,1986
9318," Aegean Airlines",30,76,49,103,1091,273,791,1107,23,1981
9319,"Finnair",26,89,30,101,966,205,483,676,21,2022
9320,"Azul Airlines",38,96,76,58,1246,172,529,740,9,2001
9321,"JetSmart",30,59,66,69,833,152,388,543,21,2021
9322,"JetSmart",22,117,69,96,1001,163,312,436,14,2018
9323,"Copa Airlines",34,68,72,65,918,201,634,887,11,1988
9324,"Jet2.com",30,104,59,55,1255,197,659,922,15,1989
9325,"Peach",38,83,56,75,1205,233,732,1024,16,2005
9326,"Air New Zealand",33,77,78,91,1201,240,693,970,6,2002
9327,"Singapore Airlines",20,58,49,80,989,207,589,824,16,2014
9328,"Scoot",29,107,58,56,1008,235,830,1162,8,2017
9329,"LOT",35,57,34,107,968,263,727,1017,4,2016
9330,"Virgin Australia",27,92,50,54,1167,244,884,1237,10,2011
9331,"Avianca",36,81,38,66,1200,182,539,754,13,2004
9332,"ITA Airways",33,106,55,60,1134,168,500,700,13,1988
9333,"Air Transat",28,95,60,74,1031,240,771,1079,8,2018
9334," Qantas Airways",35,92,44,62,1120,249,867,1213,22,1988
9335,"Virgin Atlantic",25,69,61,105,834,252,685,959,10,2020
9336,"Virgin Australia",24,91,79,60,1289,243,848,1187,20,2004
9337,"Eurowings",36,98,56,94,1011,178,390,546,12,2012
9338,"Virgin Australia",36,71,58,70,1223,189,552,772,21,1988
9339,"China Eastern Airlines",23,104,60,89,1244,143,251,351,7,1996
9340,"Avianca",37,57,44,73,855,248,812,1136,4,1983
9341,"JetBlue Airways",36,85,51,51,875,155,482,674,14,1987
9342,"flyDubai",38,102,69,51,1215,134,387,541,18,1983
9343,"Southwest Airlines",38,110,62,88,1296,240,706,988,11,2017
9344,"Jet2.com",24,65,75,86,1128,233,682,954,16,2014
9345,"Finnair",34,110,43,116,857,202,401,561,8,1998
9346,"Oman Air",26,109,38,114,1154,285,795,1113,22,1999
9347,"ITA Airways",35,94,33,112,953,252,652,912,7,2014
9348,"South African Airways",37,104,67,91,881,207,541,757,15,2021
9349," Gulf Air",26,65,50,91,962,176,398,557,4,2003
9350,"LOT",29,105,49,69,882,117,226,316,5,1994
9351,"Delta Air Lines",36,70,36,102,940,200,454,635,11,2002
9352," Gulf Air",29,93,51,114,1087,287,804,1125,23,1994
9353,"EasyJet",26,63,45,57,1162,140,387,541,11,1991
9354,"Singapore Airlines",24,118,46,64,1187,139,348,487,14,1984
9355,"Citilink",31,98,54,64,1127,135,332,464,5,2008
9356,"flyDubai",22,64,78,116,966,309,898,1257,21,2008
9357,"flyDubai",27,102,71,70,1272,238,780,1092,20,2009
9358,"KLM Royal Dutch Airlines",37,60,31,76,1204,116,186,260,18,2016
9359,"Iberia",27,97,72,80,1205,188,503,704,22,2008
9360,"Vueling Airlines",22,65,35,73,845,127,252,352,10,2014
9361,"EasyJet",30,52,39,117,1228,233,538,753,8,2016
9362,"Royal Brunei Airlines",35,98,60,53,970,173,560,784,20,1998
9363,"Turkish Airlines",21,62,36,62,1045,134,334,467,20,1997
9364,"Wizz Air",21,108,70,59,1026,223,764,1069,11,2017
9365,"Rex Airlines",35,79,61,70,997,202,612,856,17,2022
9366,"Asiana Airlines",25,99,40,96,866,263,776,1086,16,2007
9367,"ITA Airways",22,57,77,60,841,122,290,406,16,2021
9368,"Eurowings",23,65,38,112,1272,271,737,1031,24,1987
9369,"Southwest Airlines",32,78,58,70,1224,192,567,793,19,1995
9370,"LOT",31,106,34,110,980,191,378,529,21,2008
9371,"Air Mauritius",29,97,54,115,893,206,425,595,10,2002
9372,"China Eastern Airlines",25,69,51,118,1156,214,449,628,15,1994
9373," Aegean Airlines",26,84,55,98,983,229,607,849,21,1998
9374,"Wizz Air",24,94,79,54,1042,217,759,1062,17,2008
9375,"JetSmart",36,85,59,79,1177,247,779,1090,16,2015
9376,"Kenya Airways",25,101,48,68,829,183,533,746,12,1992
9377,"ITA Airways",39,71,39,101,1119,179,364,509,21,2021
9378,"Malaysia Airlines",34,51,51,77,1254,185,501,701,22,1988
9379,"Swiss International Air Lines",37,63,41,51,1221,233,846,1184,11,2012
9380,"Air France",37,63,49,99,958,286,869,1216,9,1987
9381,"Bangkok Airways",29,53,74,85,889,145,279,390,23,2016
9382,"ITA Airways",39,79,72,68,890,242,810,1134,5,2014
9383,"Cathay Pacific Airways",33,96,65,94,1071,243,692,968,7,2020
9384,"Virgin Atlantic",22,79,52,112,861,184,336,470,20,2014
9385,"SunExpress",34,68,32,64,968,127,293,410,20,1990
9386,"Kuwait Airways",30,64,41,64,895,135,329,460,11,2004
9387,"airBaltic",33,91,34,65,890,211,678,949,22,2009
9388,"Delta Air Lines",40,120,40,96,1091,221,580,812,23,1993
9389,"ITA Airways",38,93,56,75,997,254,833,1166,19,2005
